variable,question,module,type,full,short,hce,default,coding
s9999117,word_obstruct,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999118,word_organ,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999119,word_pain,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999120,word_paralyz,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999121,word_phlegm,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999122,word_pneumonia,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s9999123,word_poison,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999124,word_polic,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999125,word_pregnanc,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999126,word_prostat,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999127,word_puffi,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999128,word_pulmonari,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999129,word_pus,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999130,word_renal,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s9999131,word_respiratori,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999132,word_ruptur,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999133,word_seizur,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999134,word_sepsi,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999135,word_sever,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999136,word_shock,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999137,word_shot,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999138,word_skin,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999139,word_smoke,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999140,word_snake,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999141,word_stomach,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999142,word_stomachach,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999143,word_stone,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999144,word_stool,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999145,word_stress,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999146,word_stroke,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999147,word_sugar,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999148,word_suicid,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s9999149,word_surgeri,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999150,word_suspect,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999151,word_swell,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999152,word_tetanus,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999153,word_throat,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999154,word_tongu,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999155,word_transfus,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999156,word_tree,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999157,word_tumor,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999158,word_ulcer,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999159,word_ultrasound,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999160,word_unconsci,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999161,word_urin,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999162,word_uterus,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999163,word_vascular,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999164,word_vehicular,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999165,word_virus,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999166,word_vomit,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999167,word_water,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999168,word_womb,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999169,word_wound,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999170,word_xray,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s9999171,word_yellow,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
